Date;Service;Departure station;Arrival station;Average journey time;Number of scheduled trains;Number of cancelled trains;Cancellation comments;Number of trains delayed at departure;Average delay of late trains at departure;Average delay of all trains at departure;Departure delay comments;Number of trains delayed at arrival;Average delay of late trains at arrival;Average delay of all trains at arrival;Arrival delay comments;Number of trains delayed > 15min;Average delay of trains > 15min (if competing with flights);Number of trains delayed > 30min;Number of trains delayed > 60min;Pct delay due to external causes;Pct delay due to infrastructure;Pct delay due to traffic management;Pct delay due to rolling stock;Pct delay due to station management and equipment reuse;Pct delay due to passenger handling (crowding, disabled persons, connections)
2018-01;National;PARIS MONTPARNASSE;NANTES;124.0;0.0;3.0;None;71.0;7.235211268;0.734290429;None;58.0;33.72643678;5.292211221;None;39.0;5.292211221;18.0;8.0;33.33333333;22.22222222;0.0;20.37037037;5.555555556;1.851851852
2018-01;National;PARIS MONTPARNASSE;VANNES;152.0;253.0;1.0;None;38.0;9.746929825;1.055026455;None;39.0;40.30769231;7.77281746;None;27.0;7.742094862;16.0;8.0;25.64102564;38.46153846;12.82051282;17.94871795;0.0;0.0
2018-01;National;VANNES;PARIS MONTPARNASSE;156.0;278.0;1.0;None;168.0;5.120436508;3.131046931;None;37.0;30.07207207;6.264019254;None;25.0;6.241486811;11.0;0.0;24.13793103;44.82758621;20.68965517;3.448275862;3.448275862;3.448275862
2018-01;National;PARIS NORD;DUNKERQUE;116.0;271.0;3.0;None;46.0;11.2365942;1.797636816;None;29.0;28.68965517;3.73880597;None;18.0;3.73880597;9.0;0.0;35.71428571;28.57142857;7.142857143;190.4200842324105;0.0;0.0
2018-01;National;MARSEILLE ST CHARLES;TOURCOING;299.0;31.0;0.0;None;13.0;0.0;30.62165761769024;None;3.0;88.33333333;11.32258065;None;3.0;11.32258065;3.0;3.0;0.0;33.33333333;33.33333333;33.33333333;0.0;0.0
2018-01;National;ANNECY;PARIS LYON;224.0;198.0;0.0;None;12.0;8.070833333;0.489141414;None;38.0;37.24605263;8.552525253;None;38.0;8.552525253;0.0;0.0;218.89587774190275;42.85714286;9.523809524;14.28571429;4.761904762;4.761904762
2018-01;National;AVIGNON TGV;PARIS LYON;159.0;538.0;0.0;None;109.0;11.68730887;2.113475836;None;88.0;31.96856061;5.797924411;None;62.0;5.797924411;35.0;12.0;36.47058824;24.70588235;16.47058824;18.82352941;0.0;3.529411765
2018-01;National;LYON PART DIEU;MARSEILLE ST CHARLES;107.0;539.0;7.0;None;271.0;16.21242312;8.403414787;None;114.0;39.73888889;9.378195489;None;96.0;9.378195489;46.0;21.0;218.89587774190275;218.65088787857883;20.0;14.66666667;1.333333333;5.333333333
2018-01;National;PARIS LYON;AVIGNON TGV;159.0;462.0;0.0;None;48.0;11.04236111;0.855627706;None;64.0;0.0;5.880880231;None;0.0;5.880880231;0.0;0.0;30.15873016;25.3968254;19.04761905;0.0;0.0;0.0
2018-01;National;PARIS LYON;BELLEGARDE (AIN);160.0;231.0;2.0;None;34.0;5.780882353;0.563464338;None;365.28344208809136;36.38802083;11.86091703;None;49.0;11.86091703;24.0;10.0;40.0;25.45454545;25.45454545;5.454545455;3.636363636;0.0
